User,Team #,Rookie Year,Likes Recieved,Likes Given,Topics,Replies,Viewed,Read,Visits,Elo
ekbrr,,2018,9,213,0,3,3326,62672,352,
GalactechGoat,4926,2018,49,111,2,61,2893,42293,352,1605
Chris_Ely,3414,2010,29,47,1,30,3709,70036,352,1663
Tom_Line,1718,1998,1058,33,9,380,2692,30602,351,1702
Chris_is_me,None (fmr. 228 / 2791),2006,2119,708,1,397,1801,27873,351,
jago21,6672,2018,351,1587,16,173,3499,46565,351,1673
snoman,3275 & 3134,2012,186,44,11,136,1509,16179,351,
Bking,2129,,3,2,0,4,2006,24913,351,1448
jwilligers,6579,,0,2,0,0,2101,25496,351,1540
Fowler509,509,2010,52,2,2,24,2519,35179,351,1641
Jeremy_Germita,399,2007,184,22,3,22,1608,18348,351,1518
gellnick,100,2016,2203,4485,9,3399,1893,61956,351,1499
scrblnrd3,4795,2013,25,46,0,7,1924,27685,350,1606
lbl1731,1731,2006,282,39,4,59,3147,51933,350,1611
kylelanman,2481,2007,54,2,1,14,1097,14950,350,1802
artdutra04,148,2002,1209,553,0,109,1612,25743,350,1838
Mika1820,2412,2017,398,759,0,341,2015,68105,350,1614
TaiwaneseMan,1468,2019,0,7,0,0,3845,28974,349,1649
JohnFogarty,1102,2006,472,66,8,165,1485,25495,349,1750
Ian4467,4467,2018,0,24,1,3,1699,17236,349,1461
TW_6391,6391,2018,15,8,0,13,2037,33278,349,1549
Type,,2016,155,252,1,93,1921,22039,349,
DylanB,687,2016,15,606,0,16,2390,40376,349,1646
Siri,2641,2007,397,1515,1,87,2487,51971,349,1618
BSV,2723,2011,252,132,14,167,1755,35638,349,1592
Breakaway3937,3937,2012,19,1,1,6,1347,18811,348,1702
ASD20,4761,2014,0,0,0,0,1374,17779,348,1536
JL_2605,2605,2017,95,33,0,20,2943,45778,348,1504
TytanRock,7762,2014,19,28,0,40,3489,51097,348,1497
Nathan_5553,5553,2018,28,36,2,13,1134,15480,348,1508
RandyNgo02,1410,2018,34,667,0,12,2980,46005,348,1652
jack42405,1758,2018,394,2369,2,131,3271,51973,348,1453
Tyson,0,2011,6,48,0,9,1315,25134,347,
ChanOH7x7,6153,2012,58,31,0,10,1285,19348,347,1622
AJohnson342,342,2013,449,510,11,313,997,12273,347,1678
Jonathanshani,2230,2019,0,0,0,0,2078,28233,347,1569
swami_dm,2137,,239,4,0,161,2007,37063,347,1612
Chinaman,1468,2019,0,21,0,0,2174,33469,347,1649
Brian_Maher,333,2012,2755,2309,15,637,1480,30945,346,1556
SndMndBdy,3419,,113,14,0,37,1962,35637,346,1506
Golfer4646,4646,2014,151,260,28,725,1697,32788,346,1481
Tytyturtles808,,2016,0,1,0,0,1893,31406,346,
jimbo493,3357,2011,20,49,1,25,1317,16474,346,1696
Skuke,846,2004,103,20,1,40,1165,12235,346,1729
jaredhk,1836,2009,1889,670,25,364,1574,26130,346,1705
Eugene_Fang,604,2000,519,67,1,59,2195,26022,346,1807
wits,302,2014,6,7,0,8,2116,34270,346,1702
ahartnet,5414,2005,299,124,7,87,1419,26033,346,1714
Christopher149,857,2007,161,831,5,112,3017,52847,345,1535
P51guitar,1730,2018,5,9,0,6,1579,24898,345,1688
Leap,299 and 4159,2013,184,673,0,40,1007,18476,345,
bscholar,5499,2017,13,116,0,19,2227,30025,345,1603
jared-bernon,1787,2018,69,72,6,64,2721,45609,345,1608
TheAilurusFulgens,,2017,128,22,1,55,2682,31615,345,
wilsonmw04,1086,2007,344,85,3,120,961,13331,344,1503
bernieseaholm,2960,2005,5,0,1,3,1772,23275,344,1719
Ari_2412,2412,2412,870,663,4,2081,1176,46817,344,1614
NYtoWI,6574,2013,24,2,2,12,2829,37267,344,1577
Schmools,5806,2011,34,50,1,42,2654,38811,344,1514
Connor_McBride,166,2013,1065,1760,7,225,2246,26168,344,1568
Kaitlynmm569,None,None,1407,2568,24,1224,2812,57107,344,
Conor_Walsh,125,2011,0,0,0,0,1376,29034,344,1733
Richard_Sims,686,2017,25,96,1,17,2313,41676,344,1528
BrennanB,4476,2006,828,1849,46,1454,2767,56187,343,1589
jjsessa,4414,2013,890,199,3,114,2104,31825,343,1727
Sam_did_it,2075,2013,12,31,1,1,1633,25427,342,1746
James_Nguyen,2468,2018,4,35,1,0,2444,38504,342,1744
Robert_Shield,5026,2014,182,527,1,57,3015,50595,342,1637
Deetman,0,2004,0,1,0,1,1061,23466,341,
chuteDoor,1619,2015,6,24,0,2,1116,20752,341,1833
kristinweiss,None,None,71,124,1,8,2408,44543,341,
ridge478,1506,2015,8,21,0,6,2077,30713,341,1685
Andy_A,95,2001,380,68,0,50,740,11702,341,1641
orthoravioli,6208,2012,2,1,0,2,1110,18422,341,
calcmogul,3512,2012,307,112,0,175,992,13040,341,1634
adityab25,900,2017,31,42,0,7,1951,36469,340,1453
mwmac,2122,2008,116,120,3,23,1131,22100,340,1735
DanielPlotas,1984,2012,215,270,0,41,2540,43278,340,1562
rlance,5550,2015,82,33,1,42,2465,43811,339,1470
Cole_Nagata,2090| 2018-,,300,62,7,173,2013,32976,339,
SteveGarward,4296,2010,40,0,0,9,2271,28016,339,1605
Domtech,2412,2004,44,27,0,26,2114,40555,339,1614
Michael_Hill,3138,2004,52,27,1,33,909,12579,339,1539
JackN,7226,2005,250,101,1,51,1213,24591,339,1535
AlexBurchard,360,2005,101,152,0,64,307,5236,338,1662
Rowenoake,2062,2015,0,7,0,0,1929,40214,338,1656
RyanMoore,2102,2016,112,1388,2,7,1989,33464,338,1700
Sam_Crow,751,2010,0,0,0,0,778,15665,338,1473
jreneew2,2053,2013,76,99,3,44,2502,35360,338,1558
Aiglesia,4776,2012,0,0,0,1,1932,32640,338,1701
Tim708,708,2006,10,13,0,10,1469,21483,338,1590
MiniCIM,1939,2016,2,1,0,1,613,8626,338,1634
PEPboi,,,70,392,0,51,971,15956,338,
hutchMN,4607,2013,19,51,0,9,747,10647,338,1658
connor.worley,,2010,376,29,6,53,1210,16043,337,
waitwhat,747,2002,0,0,0,0,765,11386,337,1670
chrisrin,4915,2016,38,135,8,44,1434,23365,337,1564
stenniswood,5843,2016,1,23,0,12,2645,41215,337,1581
Joe_G,0,2007,23,1,0,6,646,9286,337,
miller_77,4322,2015,6,94,0,6,2005,28317,337,1514
bryang,8,2016,0,31,0,0,1049,12694,336,1572
TD78,78,2002,0,46,0,4,1506,32127,336,1841
ozrien,0,2003,112,9,2,67,1809,19801,336,
DavidStreit,4534,,18,12,0,14,2423,35215,336,1651
gusdoggett,2898,2015,45,260,0,13,3134,39231,336,1511
Basel_A,3504,2009,279,400,1,54,1721,31269,336,1544
rsisk,2493,2007,100,57,1,62,859,12280,336,1499
GarroH,148,2009,300,49,0,11,2104,39168,336,1838
KamdenB,2771,2017,72,28,0,17,1366,16571,336,1640
orangeandblack5,5498,2015,1481,907,14,2607,671,26388,335,1516
C_MacC,3044,2013,86,50,0,110,3683,59341,335,1557
Ben_the_Builder,3303,2016,79,23,0,35,2791,47720,335,1506
FlamingSpork,3003,2015,1,0,0,1,462,9420,335,1645
JOEL340,340,2010,57,23,1,13,1185,20687,335,1762
BriFRC,,2018,423,438,7,148,1256,21298,335,
orangelight,548,2014,64,101,2,19,1752,30579,335,1692
KJaget,900,2015,101,156,0,61,1814,33850,335,1453
Darren_Collins,2046,2007,238,39,0,7,935,15471,335,1852
ExRndzGuy,0,,1,3,0,1,549,10745,334,
Roger,1153,1900,54,1,0,36,1157,15195,333,1646
MrForbes,1726,2006,1440,340,8,695,1887,23937,333,1662
zeta,2239,,3,77,0,4,1679,20513,333,1387
BenjaminA,4990,2018,195,803,4,42,2784,37770,333,1579
Chaikonur,1410,None,23,105,0,4,2055,35515,333,1652
virtuald,6367,2003,209,23,23,210,1092,10846,332,1508
AsaB,1983,2018,0,23,0,0,1867,22103,332,1729
Vinh_pham_4587,4587,2013,0,37,0,1,1354,18424,332,1675
shimi002,0,,0,0,0,0,217,7582,331,
aayushmathur,1153,2017,0,18,0,0,1723,30643,331,1646
clydefrog88,4087,2005,75,71,2,20,2154,38668,331,1617
philso,4328,2009,886,2698,2,991,3456,46149,331,1493
Vikesrock,238,2007,2,1,0,3,3180,50769,330,1683
rutzman,2614,2008,0,45,0,0,3107,53023,330,1592
wjordan,-1,2013,136,66,0,43,1260,22713,330,
James_Kuszmaul,971,2011,11,0,0,5,899,13818,330,1853
Michael_Kaurich,None,None,64,103,0,42,1647,33798,330,
Daniel_Kassab,1425,2018,26,107,2,22,2377,17493,330,1640
Katie_UPS,253,2008,1983,1181,6,264,1001,16659,329,1622
HillelCoates,1778,2018,0,26,0,0,3138,42158,329,1609
InfiniteHeight,694,,7,3,0,11,2550,48128,329,1737
Josh_Fox,4680,2007,74,245,1,34,1529,40257,329,1605
risho900,6897,2016,52,13,10,122,1899,23702,329,1493
cbale2000,5712,2004,221,227,2,130,521,6940,329,1675
