team,lat,lng
2443,20.881,-156.478
2444,21.329,-157.862
2445,21.345,-158.087
2449,33.251,-111.859
2450,44.914,-93.173
2451,41.919,-88.307
2457,39.44,-94.197
2458,40.722,-74.671
2461,35.426,-97.526
2465,21.982,-159.368
2468,30.297,-97.818
2470,44.826,-93.354
2471,45.606,-122.414
2472,45.153,-93.144
2473,37.318,-122.045
2474,41.82,-86.237
2477,21.398,-158.012
2478,33.432,-111.847
2480,44.938,-93.221
2481,40.505,-89.483
2484,40.887,-111.903
2485,32.797,-117.171
2486,35.226,-111.574
2487,40.738,-73.13
2489,37.518,-121.929
2491,44.981,-93.177
2493,33.931,-117.412
2495,40.22,-74.594
2496,33.742,-117.747
2498,44.967,-93.283
2499,47.416,-92.936
2500,45.024,-93.302
2501,45.013,-93.03
2502,44.877,-93.483
2503,46.35,-94.1
2506,42.902,-88.009
2508,45.061,-92.847
2509,44.895,-94.385
2511,44.675,-93.258
2512,46.855,-92.007
2513,45.019,-93.24
2515,44.448,-95.779
2518,44.829,-93.039
2521,44.019,-123.1
2522,47.84,-122.197
2523,44.427,-72.005
2525,45.006,-93.419
2526,45.128,-93.459
2529,44.932,-93.088
2530,44.011,-92.397
2531,44.806,-93.608
2532,45.269,-92.975
2534,39.351,-76.632
2537,39.214,-76.879
2538,45.592,-95.917
2539,40.301,-76.589
2543,32.632,-116.941
2544,42.177,-79.942
2545,45.052,-93.254
2549,44.903,-93.289
2550,45.338,-122.57
2551,38.116,-122.571
2554,40.578,-74.359
2556,30.517,-86.482
2557,47.207,-122.444
2559,40.291,-76.82
2560,38.882,-94.52
2574,45.019,-93.24
2576,-33.457,-70.648
2577,40.679,-74.561
2579,40.761,-73.93
2582,31.27,-94.647
2583,30.422,-97.797
2584,34.201,-118.539
2585,29.702,-95.461
2586,47.244,-88.459
2587,29.735,-95.412
2590,40.22,-74.594
2591,42.434,-83.043
2594,43.594,-116.536
2600,41.03,-74.52
2601,40.728,-73.82
2603,41.14,-81.858
2604,43.026,-82.93
2605,48.749,-122.489
2606,44.739,-93.126
2607,40.207,-75.091
2609,43.559,-80.3
2611,42.255,-84.388
2612,42.643,-83.355
2613,31.039,-104.825
2614,39.645,-79.963
2619,43.638,-84.268
2620,42.204,-83.2
2626,45.389,-71.899
2630,32.333,34.89
2634,43.714,-79.487
2635,45.409,-122.685
2637,33.767,-118.381
2638,40.774,-73.719
