TeamLat,TeamLng,EventLat,EventLng
-117.955,33.843,-118.2695624,34.0403207,0
-118.292,34.049,-118.2695624,34.0403207,0
-117.705,33.707,-118.2695624,34.0403207,0
-157.844,21.3,-118.2695624,34.0403207,0
-118.487,34.201,-118.2695624,34.0403207,0
-118.391,34.143,-118.2695624,34.0403207,0
-118.126,33.887,-118.2695624,34.0403207,0
-117.87,33.709,-118.2695624,34.0403207,0
-118.05,33.718,-118.2695624,34.0403207,0
-118.069,33.867,-118.2695624,34.0403207,0
-118.473,34.027,-118.2695624,34.0403207,0
-118.394,33.963,-118.2695624,34.0403207,0
-118.208,34.049,-118.2695624,34.0403207,0
-118.134,33.762,-118.2695624,34.0403207,0
-118.193,34.114,-118.2695624,34.0403207,0
-118.354,33.84,-118.2695624,34.0403207,0
-118.4,34.029,-118.2695624,34.0403207,0
-70.634,-33.406,-118.2695624,34.0403207,0
-118.112,33.847,-118.2695624,34.0403207,0
-118.085,34.066,-118.2695624,34.0403207,0
-118.391,34.143,-118.2695624,34.0403207,0
-118.208,34.049,-118.2695624,34.0403207,0
-118.246,34.232,-118.2695624,34.0403207,0
-118.315,34.029,-118.2695624,34.0403207,0
-118.381,34.053,-118.2695624,34.0403207,0
-118.246,33.929,-118.2695624,34.0403207,0
-117.849,33.811,-118.2695624,34.0403207,0
-115.503,32.683,-118.2695624,34.0403207,0
-118.208,34.134,-118.2695624,34.0403207,0
-118.254,33.867,-118.2695624,34.0403207,0
-118.43,34.003,-118.2695624,34.0403207,0
-70.648,-33.457,-118.2695624,34.0403207,0
-118.183,33.782,-118.2695624,34.0403207,0
-117.844,34.154,-118.2695624,34.0403207,0
-118.312,33.742,-118.2695624,34.0403207,0
-118.052,34.124,-118.2695624,34.0403207,0
-117.898,34.065,-118.2695624,34.0403207,0
-118.432,34.305,-118.2695624,34.0403207,0
-118.432,34.153,-118.5626085,34.4411952,0
-118.139,34.191,-118.5626085,34.4411952,0
-118.459,34.262,-118.5626085,34.4411952,0
-122.035,37.35,-118.5626085,34.4411952,0
-120.427,34.829,-118.5626085,34.4411952,0
-156.677,20.917,-118.5626085,34.4411952,0
-118.523,34.38,-118.5626085,34.4411952,0
-117.287,34.032,-118.5626085,34.4411952,0
-118.381,33.767,-118.5626085,34.4411952,0
-118.499,34.277,-118.5626085,34.4411952,0
-117.794,33.624,-118.5626085,34.4411952,0
-112.068,33.51,-118.5626085,34.4411952,0
-118.553,34.398,-118.5626085,34.4411952,0
-118.246,34.232,-118.5626085,34.4411952,0
-121.966,37.814,-121.837884,36.6247147,0
-119.652,36.843,-121.837884,36.6247147,0
-121.36,38.423,-121.837884,36.6247147,0
-121.831,37.246,-121.837884,36.6247147,0
-122.045,37.318,-121.837884,36.6247147,0
-121.826,37.283,-121.837884,36.6247147,0
-121.844,36.58,-121.837884,36.6247147,0
-121.922,36.617,-121.837884,36.6247147,0
-121.844,36.58,-121.837884,36.6247147,0
-119.548,36.724,-121.837884,36.6247147,0
-121.942,36.591,-121.837884,36.6247147,0
-121.77,37.753,-121.837884,36.6247147,0
-121.644,36.71,-121.837884,36.6247147,0
-121.66,36.668,-121.837884,36.6247147,0
-121.844,36.58,-121.837884,36.6247147,0
-121.756,37.297,-121.837884,36.6247147,0
-121.344,36.834,-121.837884,36.6247147,0
-118.399,33.995,-121.837884,36.6247147,0
-121.917,37.832,-121.837884,36.6247147,0
-118.112,34.121,-117.9027196,33.6657383,0
-118.4,34.062,-117.9027196,33.6657383,0
-105.104,40.581,-117.9027196,33.6657383,0
-118.474,34.066,-117.9027196,33.6657383,0
-117.747,33.742,-117.9027196,33.6657383,0
-118.383,33.831,-117.9027196,33.6657383,0
-121.53,38.496,-117.9027196,33.6657383,0
-117.113,34.077,-117.9027196,33.6657383,0
-118.4,33.862,-117.9027196,33.6657383,0
-117.81,34.007,-117.9027196,33.6657383,0
-118.356,33.955,-117.9027196,33.6657383,0
-121.429,38.408,-117.9027196,33.6657383,0
-117.895,33.887,-117.9027196,33.6657383,0
-117.61,33.921,-117.9027196,33.6657383,0
-118.036,33.818,-117.9027196,33.6657383,0
-116.973,33.742,-117.9027196,33.6657383,0
-118.412,33.924,-117.9027196,33.6657383,0
-118.003,33.721,-117.9027196,33.6657383,0
-117.955,33.877,-117.9027196,33.6657383,0
-117.955,33.843,-117.9027196,33.6657383,0
-118.092,34.413,-117.9027196,33.6657383,0
-117.696,33.474,-117.9027196,33.6657383,0
-118.233,33.819,-117.9027196,33.6657383,0
-117.594,33.651,-117.9027196,33.6657383,0
-118.084,33.946,-117.9027196,33.6657383,0
-117.833,33.594,-117.9027196,33.6657383,0
-118.131,33.942,-117.9027196,33.6657383,0
-117.52,33.824,-117.9027196,33.6657383,0
-118.005,33.677,-117.9027196,33.6657383,0
-117.868,33.63,-117.9027196,33.6657383,0
-118.065,33.796,-117.9027196,33.6657383,0
-117.969,33.665,-117.9027196,33.6657383,0
-117.261,34.143,-117.9027196,33.6657383,0
-117.95,33.71,-117.9027196,33.6657383,0
-117.885,33.929,-117.9027196,33.6657383,0
-117.787,33.69,-117.9027196,33.6657383,0
-117.274,32.847,-117.9027196,33.6657383,0
-122.334,37.926,-117.9027196,33.6657383,0
-120.664,35.475,-117.9027196,33.6657383,0
-118.143,34.075,-117.2583568,32.9752398,0
-117.197,32.824,-117.2583568,32.9752398,0
-117.227,32.727,-117.2583568,32.9752398,0
-117.171,32.797,-117.2583568,32.9752398,0
-117.04,32.976,-117.2583568,32.9752398,0
-117.269,33.053,-117.2583568,32.9752398,0
-156.478,20.881,-117.2583568,32.9752398,0
-159.368,21.982,-117.2583568,32.9752398,0
-117.171,32.797,-117.2583568,32.9752398,0
-116.941,32.632,-117.2583568,32.9752398,0
-118.381,33.767,-117.2583568,32.9752398,0
-117.069,33.007,-117.2583568,32.9752398,0
-118.367,33.752,-117.2583568,32.9752398,0
