Lat,Lng,Density
21.35728,-157.89909,35
21.35743,-157.89915,35
21.35757,-157.8992,35
21.35774,-157.89925,35
21.3579,-157.89929,35
21.35809,-157.89933,35
21.35827,-157.89936,35
21.35844,-157.89938,35
21.35864,-157.89939,35
21.35911,-157.89943,35
21.35979,-157.89948,35
21.36025,-157.89951,35
21.36039,-157.89952,35
21.36053,-157.89954,35
21.36071,-157.89958,35
21.36088,-157.89962,35
21.36104,-157.89968,35
21.36119,-157.89973,35
21.36131,-157.89978,35
21.36146,-157.89985,35
21.36159,-157.89992,35
21.36174,-157.90001,35
21.36186,-157.90009,35
21.36199,-157.90018,35
21.36211,-157.90028,35
21.36285,-157.90092,35
21.36382,-157.90176,35
21.36428,-157.90216,35
21.36632,-157.90395,35
21.36722,-157.9047,35
21.36739,-157.90485,35
21.36754,-157.905,35
21.36766,-157.90514,35
21.36778,-157.90528,35
21.36788,-157.90543,35
21.36799,-157.90559,35
21.36808,-157.90575,35
21.36816,-157.90591,35
21.36825,-157.90612,35
21.36831,-157.90627,35
21.36838,-157.90646,35
21.36843,-157.90666,35
21.36848,-157.90685,35
21.36851,-157.9071,35
21.36855,-157.90754,35
21.36857,-157.90813,35
21.36868,-157.9093,35
21.36873,-157.9096,35
21.36878,-157.90983,35
21.36883,-157.91004,35
21.36899,-157.9105,35
21.36917,-157.91098,35
21.36981,-157.91231,35
21.37025,-157.91309,35
21.37053,-157.91356,35
21.3706,-157.91368,35
21.37069,-157.91383,35
21.37077,-157.914,35
21.37083,-157.91417,35
21.37088,-157.91431,35
21.37097,-157.91459,35
21.37107,-157.91489,35
21.37116,-157.91516,35
21.37125,-157.9154,35
21.37133,-157.9156,35
21.37142,-157.91581,35
21.37152,-157.916,35
21.37204,-157.9167,35
21.37266,-157.91732,35
21.37289,-157.91756,35
21.37284,-157.91758,35
21.37279,-157.91761,35
21.37248,-157.9177,35
21.37242,-157.91773,35
21.37234,-157.91779,35
21.37228,-157.91785,35
21.37222,-157.91793,35
21.37219,-157.91799,35
21.37217,-157.91805,35
21.37216,-157.91813,35
21.37216,-157.9182,35
21.37219,-157.9184,35
21.37225,-157.91871,35
21.3723,-157.91897,35
21.37233,-157.91921,35
21.37236,-157.9194,35
21.37239,-157.91975,35
21.37243,-157.92008,35
21.37247,-157.92037,35
21.37248,-157.92056,35
21.37249,-157.92079,35
21.37251,-157.92102,35
21.37252,-157.92119,35
21.37255,-157.92136,35
21.37259,-157.92153,35
21.37265,-157.92169,35
21.37271,-157.92184,35
21.37277,-157.92197,35
21.37283,-157.92208,35
21.3729,-157.92219,35
21.37298,-157.92229,35
21.37306,-157.9224,35
21.37314,-157.92248,35
21.37323,-157.92258,35
21.37336,-157.92269,35
21.37383,-157.92312,35
21.37418,-157.92357,35
21.37433,-157.92374,35
21.37446,-157.92393,35
21.37458,-157.92412,35
21.37477,-157.92441,35
21.37502,-157.9248,35
21.37515,-157.92498,35
21.3753,-157.92516,35
21.37566,-157.92556,35
21.37602,-157.92587,35
21.37658,-157.92633,35
21.37701,-157.92669,35
21.37749,-157.92705,35
21.37855,-157.92788,35
21.37937,-157.92858,35
21.37978,-157.9289,35
21.38275,-157.93111,35
21.38387,-157.93194,35
21.38414,-157.93214,35
21.38445,-157.93238,35
21.38458,-157.93251,35
21.38489,-157.9328,35
21.38518,-157.9331,35
21.38559,-157.9336,35
21.38597,-157.93415,35
21.38618,-157.93448,35
21.38638,-157.93482,35
21.38651,-157.93509,35
21.38664,-157.93536,35
21.38678,-157.9357,35
21.38695,-157.93614,35
21.38778,-157.93839,35
21.3886,-157.94063,35
21.39028,-157.94522,35
21.39156,-157.9487,35
21.39294,-157.95246,35
21.39306,-157.95283,35
21.39318,-157.95326,35
21.39327,-157.95366,35
21.39335,-157.95414,35
21.39339,-157.95443,35
21.39341,-157.95464,35
21.39342,-157.95495,35
21.39343,-157.95526,35
21.39341,-157.95561,35
21.39339,-157.95596,35
21.39336,-157.95629,35
21.39331,-157.9566,35
21.39325,-157.95691,35
21.39319,-157.95715,35
21.3931,-157.9575,35
21.39301,-157.9578,35
21.39289,-157.95812,35
21.39278,-157.95841,35
21.39266,-157.95868,35
21.39257,-157.95892,35
21.39227,-157.95964,35
21.39122,-157.96222,35
21.39093,-157.96294,35
21.39079,-157.96327,35
21.39066,-157.96362,35
21.39057,-157.96387,35
21.39046,-157.96418,35
21.39036,-157.96455,35
21.39026,-157.96492,35
21.39018,-157.96528,35
21.39011,-157.96567,35
