Lat,Lng
41.56852,-72.09378
41.60796,-71.9481
41.76662,-71.86939
41.81197,-71.75472
41.83736,-71.58455
41.87059,-71.57744
40.0696,-75.12538
40.10319,-75.19558
40.13449,-75.19391
40.11466,-75.27741
40.42745,-75.41827
40.60458,-75.57375
40.82064,-75.67842
40.89587,-75.63943
41.00592,-75.63527
41.07456,-75.70537
41.05628,-75.72422
41.05112,-75.99658
41.00389,-76.15667
41.01941,-76.17477
41.01077,-76.29376
41.03918,-76.35886
40.9864,-76.71452
41.04359,-76.81617
41.07722,-76.93069
41.07429,-77.03369
41.04106,-77.1355
41.06529,-77.2171
41.04833,-77.32228
41.06948,-77.4089
