Team,EngInsp,IndDsgn,Quality,Creativity,EngExlnce,Auton
frc496,0,1,1,0,0,0
frc497,0,1,0,0,0,0
frc498,0,2,0,0,0,0
frc499,2,0,0,0,0,0
frc500,1,0,0,0,0,0
frc501,1,3,0,0,1,0
frc502,0,0,0,0,0,0
frc503,6,2,2,3,2,1
frc504,0,0,0,0,0,0
frc505,0,0,0,0,0,0
frc506,0,0,0,0,0,0
frc507,0,0,1,0,0,0
frc508,0,0,0,0,0,0
frc509,0,0,1,0,1,0
frc510,0,0,0,0,0,0
frc511,0,0,0,0,0,0
frc512,0,0,0,0,0,0
frc513,0,0,0,0,0,0
frc514,0,0,0,1,0,0
frc515,0,0,0,0,0,0
frc517,0,0,0,0,0,0
frc518,0,0,0,0,0,0
frc519,0,0,0,0,0,0
frc520,0,0,0,0,0,0
frc521,0,0,0,0,0,0
frc522,0,2,1,0,1,0
frc524,0,0,0,0,0,0
frc525,0,2,6,1,1,1
frc527,0,0,1,1,1,0
frc528,0,0,1,0,0,0
frc529,0,0,0,0,0,0
frc533,1,1,3,1,1,0
frc535,0,0,0,0,0,0
frc536,0,0,0,0,0,0
frc537,3,0,0,0,0,0
frc538,1,2,1,0,0,0
frc539,0,0,0,1,0,0
frc540,6,1,0,2,0,0
frc541,0,0,0,0,0,0
frc545,0,0,0,0,0,0
frc546,0,0,0,0,0,0
frc547,0,1,0,0,0,0
frc548,5,1,4,1,2,0
frc549,1,1,1,0,0,0
frc550,0,0,0,0,0,0
frc551,0,0,0,0,0,0
frc554,1,1,0,0,0,0
frc555,0,0,0,1,0,0
frc557,0,0,0,0,0,0
frc558,1,0,1,1,0,0
frc560,0,0,0,0,0,0
frc561,0,0,0,0,0,0
frc562,0,0,1,0,0,0
frc563,0,0,0,0,0,0
frc564,0,0,0,0,0,0
frc565,0,0,0,0,0,0
frc566,0,0,0,0,0,0
frc568,3,0,0,0,0,0
frc569,0,0,1,0,0,0
frc570,0,0,0,0,0,0
frc571,0,1,1,0,0,0
frc573,2,2,0,2,1,1
frc574,0,0,0,0,0,0
frc575,0,0,0,0,0,0
frc576,0,0,0,0,0,0
frc577,0,0,0,0,0,0
frc578,1,1,0,0,0,0
frc579,0,0,0,0,0,0
frc580,0,0,0,1,0,0
frc581,0,0,0,0,0,0
frc582,0,0,0,0,0,0
frc583,0,0,0,0,0,0
frc585,3,0,0,0,0,0
frc586,0,0,0,0,0,0
frc587,0,1,3,0,0,0
frc588,0,0,0,0,0,0
frc589,1,0,0,0,0,0
frc590,0,0,1,0,0,0
frc591,0,0,0,0,0,0
frc592,0,0,0,0,0,0
frc593,0,0,0,0,0,0
frc594,0,0,0,0,0,0
frc596,0,0,0,0,0,0
frc597,4,0,1,0,0,0
frc598,0,0,0,0,0,0
frc599,0,2,1,0,2,0
frc600,0,0,0,0,0,0
frc601,0,0,0,0,0,0
frc602,0,0,0,0,0,0
frc603,0,0,0,0,0,0
frc604,2,1,1,0,0,0
frc605,0,0,0,0,0,0
frc606,0,0,0,0,0,0
frc607,0,0,0,0,0,0
frc608,0,0,0,0,0,0
frc609,0,0,0,1,0,0
frc610,2,5,7,2,6,0
frc611,0,0,0,1,0,0
frc612,4,0,1,0,0,0
frc613,0,0,0,1,0,0
frc614,0,2,0,0,0,0
frc615,0,0,0,0,0,0
frc616,0,1,0,0,0,0
frc617,2,0,1,0,0,0
frc618,0,0,0,0,0,0
frc619,0,2,1,0,0,0
frc620,0,1,0,1,0,0
frc621,0,0,0,0,0,0
frc622,0,0,0,0,0,0
frc623,0,1,3,0,1,0
frc624,1,3,2,0,2,1
frc625,0,0,0,0,0,0
frc627,0,0,0,0,0,0
frc628,0,1,0,1,0,0
frc630,0,0,0,0,0,0
frc632,0,0,0,0,0,0
frc633,0,0,0,0,0,0
frc634,0,0,0,0,0,0
frc635,0,0,0,0,0,0
frc636,0,0,0,0,0,0
frc637,0,0,0,0,0,0
frc638,0,0,0,0,0,0
frc639,2,4,1,0,0,0
frc640,0,0,0,0,0,0
frc641,0,0,0,0,0,0
frc642,0,0,0,0,0,0
frc643,0,0,0,0,0,0
frc644,0,0,0,0,0,0
frc645,0,0,0,0,0,0
frc646,0,0,0,0,0,0
frc647,0,0,0,0,0,0
frc648,0,1,0,2,0,0
frc649,0,0,3,0,1,0
frc650,0,0,0,0,0,0
frc651,1,0,0,0,0,0
frc652,0,0,0,0,0,0
frc653,0,0,0,0,0,0
frc654,0,0,0,0,0,0
frc655,0,0,0,0,0,0
frc658,0,0,0,0,0,0
frc659,0,0,0,0,0,0
frc660,0,0,0,0,0,0
frc662,0,1,0,3,1,0
frc663,0,0,0,0,0,0
frc664,0,0,0,0,0,0
frc665,0,0,0,0,0,0
frc666,0,0,0,0,0,0
frc667,0,0,0,0,0,0
frc668,0,0,0,1,1,0
frc670,0,0,0,0,0,0
frc671,0,0,0,0,0,0
frc674,0,0,0,0,0,0
frc675,1,0,0,1,0,0
frc676,0,0,0,0,0,0
frc677,0,0,0,0,0,0
frc679,0,0,0,0,0,0
frc681,0,0,0,0,0,0
frc684,0,0,0,0,0,0
frc685,0,0,0,0,0,0
frc686,0,0,0,1,1,0
frc687,1,0,0,0,0,1
frc688,0,0,0,0,0,0
frc690,0,0,0,0,0,0
frc691,0,0,0,1,0,0
frc692,1,0,1,1,0,0
frc694,3,0,0,2,0,0
frc695,0,0,0,0,0,1
frc696,0,5,6,0,1,0
frc697,0,0,0,0,0,0
frc698,0,0,0,0,0,0
frc699,0,0,0,0,0,0
frc700,0,0,0,0,0,0
frc701,3,1,3,1,0,0
frc702,0,0,0,1,0,0
frc703,1,0,0,2,1,0
frc704,0,4,2,0,0,0
frc706,0,1,2,1,1,0
frc708,1,1,0,1,2,0
frc709,0,0,0,1,0,1
frc710,0,0,1,0,0,0
frc711,0,0,0,0,0,0
frc713,0,0,0,1,0,0
frc714,2,0,2,1,1,0
frc715,0,0,0,0,0,0
frc716,0,0,0,3,0,0
frc731,0,0,0,0,0,0
frc743,0,0,0,0,0,0
frc744,1,0,4,1,0,0
frc746,0,0,1,0,0,0
frc747,0,1,2,1,0,0
frc748,0,0,0,0,0,0
frc750,0,0,0,0,0,0
frc751,0,0,1,1,0,0
frc752,0,0,0,0,0,0
frc753,1,1,2,4,0,0
frc754,0,0,0,0,0,0
frc755,0,0,0,0,0,0
frc758,0,0,0,0,0,0
frc759,0,0,0,1,0,0
frc760,0,0,0,0,0,0
frc762,0,1,0,0,0,0
frc764,0,0,0,0,0,0
frc765,0,0,0,0,0,0
frc766,0,1,0,0,0,0
frc768,1,1,0,0,1,0
frc769,0,0,0,0,0,0
frc770,0,0,0,0,0,0
frc771,6,0,0,1,0,0
frc772,5,1,1,2,0,0
frc773,0,0,0,0,0,0
frc776,0,0,0,0,0,0
frc779,0,0,0,0,0,0
frc780,0,0,0,0,0,0
frc781,1,0,0,1,1,0
frc782,0,0,0,1,0,0
frc783,0,0,0,0,0,0
frc800,0,0,0,0,0,0
frc801,0,0,1,3,0,0
frc802,0,0,0,0,0,0
frc803,0,0,0,0,0,0
frc804,0,0,0,0,0,0
frc805,0,0,0,0,0,0
frc806,0,0,0,0,0,0
frc807,0,0,0,0,0,0
frc808,0,0,0,0,0,0
frc809,0,0,0,0,0,0
