3950,2
51.47,22.90,1538832798.3
51.46,22.87,1538832798.4
51.46,22.85,1538832798.5
51.48,22.83,1538832798.6
52.86,23.49,1538832798.7
52.95,23.52,1538832798.8
52.97,23.51,1538832798.9
52.94,23.52,1538832799.0
52.89,23.54,1538832799.1
52.84,23.55,1538832799.2
52.81,23.53,1538832799.3
52.83,23.52,1538832799.4
52.84,23.53,1538832799.5
52.89,23.54,1538832799.6
52.93,23.50,1538832799.7
52.95,23.51,1538832799.8
53.00,23.52,1538832799.9
53.01,23.52,1538832800.0
52.95,23.53,1538832800.1
52.88,23.56,1538832800.2
52.82,23.58,1538832800.3
52.79,23.56,1538832800.4
52.74,23.54,1538832800.5
52.69,23.54,1538832800.6
52.71,23.54,1538832800.7
52.74,23.51,1538832800.8
52.78,23.51,1538832800.9
52.81,23.49,1538832801.0
52.86,23.52,1538832801.1
52.89,23.53,1538832801.2
52.93,23.58,1538832801.3
52.94,23.61,1538832801.4
52.91,23.66,1538832801.5
52.88,23.74,1538832801.6
52.83,23.75,1538832801.7
52.82,23.75,1538832801.8
52.81,23.71,1538832801.9
52.80,23.68,1538832802.0
52.85,23.62,1538832802.1
52.88,23.56,1538832802.2
52.90,23.56,1538832802.3
52.90,23.59,1538832802.4
52.90,23.60,1538832802.5
52.89,23.61,1538832802.6
52.84,23.66,1538832802.7
52.84,23.70,1538832802.8
52.83,23.72,1538832802.9
52.84,23.73,1538832803.0
52.85,23.71,1538832803.1
52.89,23.64,1538832803.2
52.94,23.57,1538832803.3
52.97,23.52,1538832803.4
53.02,23.52,1538832803.5
53.06,23.51,1538832803.6
53.08,23.53,1538832803.7
53.09,23.59,1538832803.8
53.07,23.65,1538832803.9
53.05,23.71,1538832804.0
53.03,23.73,1538832804.1
53.01,23.76,1538832804.2
53.00,23.76,1538832804.3
52.99,23.76,1538832804.4
52.99,23.75,1538832804.5
52.98,23.74,1538832804.6
52.96,23.72,1538832804.7
52.94,23.69,1538832804.8
52.92,23.68,1538832804.9
52.91,23.68,1538832805.0
52.92,23.65,1538832805.1
52.94,23.60,1538832805.2
52.96,23.58,1538832805.3
52.98,23.58,1538832805.4
53.00,23.59,1538832805.5
53.03,23.60,1538832805.6
53.05,23.60,1538832805.7
53.04,23.63,1538832805.8
53.03,23.62,1538832805.9
53.02,23.61,1538832806.0
53.00,23.57,1538832806.1
52.95,23.54,1538832806.2
52.93,23.58,1538832806.3
52.94,23.56,1538832806.4
52.95,23.57,1538832806.5
52.91,23.56,1538832806.6
52.88,23.56,1538832806.7
52.87,23.56,1538832806.8
52.85,23.53,1538832806.9
52.82,23.55,1538832807.0
52.81,23.60,1538832807.1
52.84,23.66,1538832807.2
52.90,23.71,1538832807.3
52.93,23.73,1538832807.4
52.95,23.72,1538832807.5
52.98,23.69,1538832807.6
