Team #,Region,Age
1997,Kansas,12
2001,Missouri,12
2010,Ohio,12
2013,ONT,12
2016,MAR,12
2022,Illinois,12
2027,New York,12
2028,CHS,12
2035,California,12
2036,Colorado,12
2039,Illinois,12
2040,Illinois,12
2046,PNW,12
2048,FIM,12
2051,Pennsylvania,12
2052,Minnesota,12
2053,New York,12
2054,FIM,12
2056,ONT,12
2059,NC,12
2062,Wisconsin,12
2064,NE,12
2067,NE,12
2068,CHS,12
2070,MAR,12
2073,California,12
2075,FIM,12
2077,Wisconsin,12
2078,Louisiana,12
2079,NE,12
2080,Louisiana,12
2081,Illinois,12
2083,Colorado,12
2084,NE,12
2085,California,12
2090,Hawaii,12
2095,MAR,12
2096,ISR,12
2102,California,12
2106,CHS,12
2122,Idaho,12
2129,Minnesota,12
2130,Idaho,12
2135,California,12
2136,Illinois,12
2137,FIM,12
2141,California,12
2143,Wisconsin,12
2144,California,12
2145,FIM,12
2147,PNW,12
2148,PNW,12
2151,Illinois,12
2152,Florida,12
2158,Texas,12
2161,New York,12
2164,Missouri,12
2165,Oklahoma,12
2167,Missouri,12
2168,NE,12
2169,Minnesota,12
2170,NE,12
2171,IN,12
2172,Ohio,12
2175,Minnesota,12
2177,Minnesota,12
2180,MAR,12
2181,Minnesota,12
2183,Louisiana,12
2186,CHS,12
2187,South Carolina,12
2190,Mississippi,12
2191,MAR,12
2194,Wisconsin,12
2197,IN,12
2199,CHS,12
2200,ONT,12
2202,Wisconsin,12
2204,California,12
2207,Minnesota,12
2212,ISR,12
2220,Minnesota,12
2221,Louisiana,12
2224,FIM,12
2225,Minnesota,12
2227,Minnesota,12
2228,New York,12
2230,ISR,12
2231,ISR,12
2232,Minnesota,12
2234,MAR,12
2239,Minnesota,12
2240,Colorado,12
2246,FIM,12
2252,Ohio,12
2259,Colorado,12
2261,Colorado,12
2262,NE,12
2264,Minnesota,12
2265,New York,12
2283,Mexico,12
2333,Oklahoma,11
2335,Kansas,11
2337,FIM,11
2338,Illinois,11
2339,California,11
2340,New York,11
2341,Oklahoma,11
2342,NE,11
2344,New York,11
2345,Missouri,11
2347,New York,11
2352,Oklahoma,11
2353,Missouri,11
2354,Oklahoma,11
2357,Missouri,11
2358,Illinois,11
2359,Oklahoma,11
2363,CHS,11
2367,California,11
2370,NE,11
2373,Oklahoma,11
2374,PNW,11
2375,Arizona,11
2377,CHS,11
2383,Florida,11
2386,ONT,11
2393,Tennessee,11
2395,Oklahoma,11
2398,Oklahoma,11
2399,Ohio,11
2403,Arizona,11
2404,California,11
2405,FIM,11
2408,Missouri,11
2410,Kansas,11
2411,PNW,11
2412,PNW,11
2415,PCH,11
2421,CHS,11
2423,NE,11
2424,Oklahoma,11
2425,Florida,11
2429,California,11
2437,Hawaii,11
2438,Hawaii,11
2439,Hawaii,11
2441,Hawaii,11
2443,Hawaii,11
2444,Hawaii,11
2445,Hawaii,11
2449,Arizona,11
2450,Minnesota,11
2451,Illinois,11
2457,Missouri,11
2458,MAR,11
2461,Oklahoma,11
2465,Hawaii,11
2468,Texas,11
2470,Minnesota,11
2471,PNW,11
2472,Minnesota,11
2473,California,11
2474,FIM,11
2477,Hawaii,11
2478,Arizona,11
2480,Minnesota,11
2481,Illinois,11
2484,Utah,11
2485,California,11
2486,Arizona,11
2487,New York,11
2489,California,11
2491,Minnesota,11
2493,California,11
2495,MAR,11
2496,California,11
2498,Minnesota,11
2499,Minnesota,11
2500,Minnesota,11
2501,Minnesota,11
2502,Minnesota,11
2503,Minnesota,11
2506,Wisconsin,11
2508,Minnesota,11
2509,Minnesota,11
2511,Minnesota,11
2512,Minnesota,11
2513,Minnesota,11
2515,Minnesota,11
2518,Minnesota,11
2521,PNW,11
2522,PNW,11
2523,NE,11
2525,Minnesota,11
2526,Minnesota,11
2529,Minnesota,11
2530,Minnesota,11
2531,Minnesota,11
2532,Minnesota,11
2534,CHS,11
2537,CHS,11
2538,Minnesota,11
2539,MAR,11
2543,California,11
2544,Pennsylvania,11
2545,Minnesota,11
2549,Minnesota,11
2550,PNW,11
2551,California,11
2554,MAR,11
2556,Florida,11
2557,PNW,11
2559,MAR,11
2560,Missouri,11
2574,Minnesota,11
2576,Chile,11
2577,MAR,11
2579,New York,11
2582,Texas,11
2583,Texas,11
2584,California,11
2585,Texas,11
2586,FIM,11
2587,Texas,11
2590,MAR,11
2591,FIM,11
2594,Idaho,11
2600,MAR,11
2601,New York,11
2603,Ohio,11
2604,FIM,11
2605,PNW,11
2606,Minnesota,11
2607,MAR,11
2609,ONT,11
2611,FIM,11
2612,FIM,11
2613,Texas,11
2614,West Virginia,11
2619,FIM,11
2620,FIM,11
2626,Canada,11
2630,ISR,11
2634,ONT,11
2635,PNW,11
2637,California,11
2638,New York,11
2640,NC,11
2641,Pennsylvania,11
2642,NC,11
2643,California,11
2647,Arizona,11
2648,NE,11
2654,Minnesota,11
2655,NC,11
2656,Pennsylvania,11
2657,New Mexico,11
2658,California,11
2659,California,11
2662,Arizona,11
2667,Minnesota,11
2673,FIM,11
2676,FIM,11
2679,ISR,11
2682,NC,11
2702,ONT,10
2704,Illinois,10
2706,ONT,10
2707,Missouri,10
2708,ONT,10
2709,Illinois,10
2710,California,10
2713,NE,10
2721,Texas,10
2723,Oklahoma,10
2725,Illinois,10
2729,MAR,10
2733,PNW,10
2765,Oklahoma,10
2767,FIM,10
2771,FIM,10
2773,Oklahoma,10
2783,Kentucky,10
2785,NE,10
2789,Texas,10
2791,New York,10
2795,Oklahoma,10
2797,Florida,10
2805,Texas,10
2811,PNW,10
2813,California,10
2815,South Carolina,10
2819,CHS,10
2823,Minnesota,10
2825,Minnesota,10
2826,Wisconsin,10
2827,California,10
2830,Wisconsin,10
2832,FIM,10
2834,FIM,10
2836,NE,10
2839,California,10
2840,Arizona,10
2844,Arizona,10
2846,Minnesota,10
2847,Minnesota,10
2848,Texas,10
2849,CHS,10
2851,FIM,10
2852,ONT,10
2853,Hawaii,10
2854,California,10
2855,Minnesota,10
2856,Kentucky,10
2861,Minnesota,10
2867,IN,10
2869,New York,10
2872,New York,10
2874,Missouri,10
2875,New York,10
2876,NE,10
2877,NE,10
2879,Minnesota,10
2881,Texas,10
2882,Texas,10
2883,Minnesota,10
2890,CHS,10
2895,New York,10
2896,Hawaii,10
2897,Texas,10
2898,PNW,10
2900,CHS,10
2903,PNW,10
2905,Turkey,10
2906,PNW,10
2907,PNW,10
2910,PNW,10
2912,CHS,10
2914,CHS,10
2915,PNW,10
2916,Florida,10
2926,PNW,10
2927,PNW,10
2928,PNW,10
2929,PNW,10
2930,PNW,10
2935,ONT,10
2942,PNW,10
2944,PNW,10
2945,Colorado,10
2950,Texas,10
2957,Minnesota,10
2959,FIM,10
2960,FIM,10
2961,CHS,10
2964,CHS,10
2966,Texas,10
2969,Texas,10
2972,Colorado,10
2973,Alabama,10
2974,PCH,10
2976,PNW,10
2977,Minnesota,10
2978,Missouri,10
2980,PNW,10
2984,California,10
2986,Oklahoma,10
2987,Minnesota,10
2988,CHS,10
2989,Minnesota,10
2990,PNW,10
2992,Louisiana,10
2993,Utah,10
2994,ONT,10
2996,Colorado,10
2998,CHS,10
3000,Kentucky,10
3003,New York,10
3004,New York,10
3005,Texas,10
3006,Utah,10
3007,Minnesota,10
3008,Hawaii,10
3009,Nevada,10
3010,Ohio,10
3011,Germany,10
3013,California,10
3015,New York,10
3017,New York,10
3018,Minnesota,10
3019,Arizona,10
3021,California,10
3023,Minnesota,10
3024,PNW,10
3026,Minnesota,10
3028,Texas,10
3029,Texas,10
3034,ISR,10
3035,Texas,10
3036,Minnesota,10
3037,Texas,10
3038,Minnesota,10
3039,Louisiana,10
3042,Minnesota,10
3043,Texas,10
3044,New York,10
3045,California,10
3049,PNW,10
3054,Minnesota,10
3055,Minnesota,10
3058,Minnesota,10
3061,Illinois,10
3062,Pennsylvania,10
3065,ISR,10
3067,Illinois,10
3070,PNW,10
3072,CHS,10
3075,ISR,10
3081,Minnesota,10
3082,Minnesota,10
3083,ISR,10
3090,Minnesota,10
3091,PCH,10
3096,FIM,10
3098,FIM,10
3100,Minnesota,10
3102,Minnesota,10
3103,Texas,10
3104,NE,10
3110,Illinois,10
3117,Canada,10
3120,California,10
3122,Minnesota,10
3128,California,9
3130,Minnesota,9
3131,PNW,9
3132,Australia,9
3133,Arizona,9
3134,Minnesota,9
3136,CHS,9
3137,New York,9
3138,Ohio,9
3139,Alabama,9
3140,Tennessee,9
3142,MAR,9
3145,Idaho,9
3146,NE,9
3147,IN,9
3151,MAR,9
3152,Oklahoma,9
3157,New York,9
3158,Mexico,9
3160,Oklahoma,9
3161,ONT,9
3163,Oklahoma,9
3164,Florida,9
3166,Utah,9
3171,New York,9
3172,Kansas,9
3173,New York,9
3175,FIM,9
3176,IN,9
3179,Oklahoma,9
3180,IN,9
3181,New York,9
3182,NE,9
3184,Minnesota,9
3187,Arizona,9
3189,California,9
3193,Ohio,9
3196,NC,9
3197,Wisconsin,9
3200,Colorado,9
3201,Ohio,9
3202,Minnesota,9
3204,New York,9
3205,NE,9
3206,Minnesota,9
3211,ISR,9
3212,Minnesota,9
3215,NC,9
3216,Montana,9
3218,PNW,9
3219,PNW,9
3220,PNW,9
3223,PNW,9
3225,Utah,9
3229,NC,9
3230,Utah,9
3234,FIM,9
3236,NE,9
3237,PNW,9
3238,PNW,9
3239,Utah,9
3240,Texas,9
3242,Florida,9
3243,Utah,9
3244,Minnesota,9
3245,Utah,9
3247,Oklahoma,9
3250,California,9
3255,California,9
3256,California,9
3257,California,9
3258,CHS,9
3260,Pennsylvania,9
3265,PCH,9
3266,Ohio,9
3267,Minnesota,9
3268,PNW,9
3274,CHS,9
3275,Minnesota,9
3276,Minnesota,9
3277,Minnesota,9
3278,Minnesota,9
3282,Texas,9
3284,Missouri,9
3288,Wyoming,9
3289,Utah,9
3291,Minnesota,9
3292,Minnesota,9
3293,Minnesota,9
3294,Minnesota,9
3295,California,9
3297,Minnesota,9
3298,Minnesota,9
3299,Minnesota,9
3300,Minnesota,9
3302,FIM,9
3303,California,9
3309,California,9
3310,Texas,9
3313,Minnesota,9
3314,MAR,9
3316,ISR,9
3319,Alabama,9
3322,FIM,9
3323,NE,9
3324,Ohio,9
3328,California,9
3329,PCH,9
3330,Missouri,9
3335,Texas,9
3336,NC,9
3337,Louisiana,9
3339,ISR,9
3340,MAR,9
3341,California,9
3344,PCH,9
3345,Texas,9
3352,Illinois,9
3354,Mexico,9
3355,Texas,9
3357,FIM,9
3359,CHS,9
3360,Canada,9
3361,CHS,9
3366,Texas,9
3367,Minnesota,9
3370,Texas,9
3373,CHS,9
3374,Wyoming,9
3379,Canada,9
3381,Wisconsin,9
3386,Canada,9
3387,Canada,9
3388,ISR,9
3389,CHS,9
3390,Turkey,9
3393,PNW,9
3397,Missouri,9
3398,FIM,9
3402,NC,9
3405,Utah,9
3407,Minnesota,9
3408,California,9
3410,Florida,9
3414,FIM,9
3418,Wisconsin,9
3419,New York,9
3451,NE,8
3452,FIM,8
3453,California,8
3454,Minnesota,8
3455,CHS,8
3457,Oklahoma,8
3458,FIM,8
3459,NC,8
3461,NE,8
3464,NE,8
3465,Oklahoma,8
3466,NE,8
3467,NE,8
3468,Louisiana,8
3470,California,8
3472,Mexico,8
3473,California,8
3476,California,8
3478,Mexico,8
3480,Mexico,8
3481,Texas,8
3482,California,8
3484,Ohio,8
3487,IN,8
3488,Illinois,8
3489,South Carolina,8
3490,South Carolina,8
3491,California,8
3492,West Virginia,8
3494,IN,8
3495,California,8
3498,Oklahoma,8
3499,NE,8
3501,California,8
3504,Pennsylvania,8
3506,NC,8
3507,Oklahoma,8
3510,Mexico,8
3511,Pennsylvania,8
3512,California,8
3513,Idaho,8
3515,MAR,8
3522,Mexico,8
3525,NE,8
3526,Mexico,8
3527,Mexico,8
3532,Canada,8
3533,Canada,8
3534,FIM,8
3535,FIM,8
3536,FIM,8
3537,FIM,8
3538,FIM,8
3539,FIM,8
3542,FIM,8
3543,ONT,8
3544,Canada,8
3545,Texas,8
3546,FIM,8
3547,FIM,8
3550,Canada,8
3555,NE,8
3556,Florida,8
3559,IN,8
3560,ONT,8
3562,Idaho,8
3566,NE,8
3568,FIM,8
3570,FIM,8
3571,ONT,8
3572,FIM,8
3573,PCH,8
3574,PNW,8
3575,PNW,8
3577,Arizona,8
3581,PCH,8
3586,PNW,8
3588,PNW,8
3591,Ohio,8
3593,Oklahoma,8
3596,Wisconsin,8
3597,NE,8
3598,California,8
3602,FIM,8
3603,FIM,8
3604,FIM,8
3606,Louisiana,8
3609,NE,8
3610,Minnesota,8
3612,Arkansas,8
3615,California,8
3616,Louisiana,8
3617,FIM,8
3618,FIM,8
3619,FIM,8
3620,FIM,8
3623,NE,8
3624,New York,8
3627,Florida,8
3630,Minnesota,8
3632,FIM,8
3633,Minnesota,8
3634,NE,8
3635,PCH,8
3636,PNW,8
