FIPS,lat,lng
6069,36.610702,-121.085296
6071,34.85722,-116.181197
6073,33.023604,-116.776117
6075,37.727239,-123.032229
6077,37.935034,-121.272237
6079,35.385227,-120.44754
6081,37.414664,-122.371542
6083,34.537378,-120.038485
6085,37.220777,-121.690622
6087,37.012488,-122.007205
6089,40.760522,-122.04355
6091,39.576925,-120.521993
6093,41.587986,-122.533287
6095,38.267226,-121.939594
6097,38.532574,-122.945194
6099,37.562384,-121.002656
6101,39.035257,-121.702758
6103,40.126156,-122.232276
6105,40.647724,-123.114404
6107,36.230453,-118.780542
6109,38.021451,-119.964708
6111,34.358742,-119.133143
6113,38.679268,-121.903178
6115,39.270026,-121.34428
8001,39.874325,-104.331872
8003,37.568442,-105.788041
8005,39.644632,-104.331733
8007,37.202395,-107.050863
8009,37.303144,-102.535457
8011,37.931891,-103.077584
8013,40.094826,-105.398382
8014,39.953383,-105.052125
8015,38.738246,-106.316972
8017,38.835387,-102.604585
8019,39.689403,-105.670791
8021,37.213407,-106.176447
8023,37.277547,-105.42894
8025,38.321956,-103.787562
8027,38.101994,-105.373515
8029,38.861756,-107.864757
8031,39.761849,-104.880625
8033,37.747602,-108.530383
8035,39.326435,-104.926199
8037,39.630638,-106.692944
8039,39.310817,-104.117928
8041,38.827383,-104.527472
8043,38.455658,-105.421438
8045,39.599352,-107.90978
8047,39.861082,-105.528947
8049,40.123289,-106.095876
8051,38.669679,-107.078108
8053,37.811625,-107.383405
8055,37.687815,-104.959928
8057,40.663432,-106.329248
8059,39.58646,-105.245601
8061,38.388466,-102.75621
8063,39.30534,-102.603023
8065,39.204316,-106.349696
8067,37.287367,-107.839718
8069,40.663091,-105.482131
8071,37.318831,-104.04411
8073,38.99374,-103.507555
8075,40.728091,-103.090464
8077,39.019492,-108.461837
8079,37.651478,-106.9323
8081,40.573984,-108.204521
8083,37.338025,-108.595786
8085,38.413427,-108.263042
8087,40.262354,-103.807092
8089,37.88417,-103.72126
8091,38.1506,-107.767133
8093,39.118914,-105.717648
8095,40.594712,-102.345105
8097,39.217533,-106.915943
8099,37.958181,-102.392161
8101,38.170658,-104.489893
8103,39.972606,-108.200685
8105,37.485763,-106.453214
8107,40.48316,-106.985289
8109,38.033952,-106.246675
8111,37.781075,-107.670257
8113,38.009374,-108.427326
8115,40.871568,-102.355358
8117,39.621023,-106.137555
8119,38.871994,-105.182552
8121,39.965413,-103.209605
8123,40.555794,-104.383649
8125,40.000631,-102.422649
9001,41.228103,-73.366757
9003,41.806053,-72.732916
9005,41.791897,-73.235428
9007,41.434525,-72.524227
9009,41.349717,-72.900204
9011,41.47863,-72.103452
9013,41.858076,-72.340977
9015,41.824999,-71.990702
10001,39.097088,-75.502982
10003,39.575915,-75.644132
10005,38.677511,-75.335495
11001,38.904149,-77.017094
12001,29.67574,-82.357221
12003,30.324442,-82.302284
12005,30.237563,-85.631348
12007,29.946934,-82.166796
12009,28.298276,-80.700384
12011,26.19352,-80.476658
12013,30.388801,-85.197916
12015,26.868826,-81.940858
12017,28.843628,-82.524796
12019,29.987116,-81.858147
12021,26.118713,-81.400884
12023,30.221305,-82.623127
12027,27.190581,-81.806253
12029,29.580899,-83.195666
12031,30.335245,-81.648113
12033,30.611664,-87.33904
12035,29.474894,-81.286362
12037,29.810176,-84.799174
12039,30.57917,-84.612783
12041,29.723456,-82.795801
12043,26.95481,-81.19082
12045,29.907257,-85.256537
12047,30.491102,-82.951049
12049,27.492846,-81.82158
12051,26.53934,-81.151584
12053,28.567911,-82.464835
12055,27.342627,-81.340921
12057,27.90659,-82.349568
12059,30.866222,-85.812959
12061,27.700638,-80.574803
12063,30.787812,-85.210374
12065,30.424558,-83.890859
12067,29.990066,-83.17851
12069,28.764113,-81.712282
12071,26.552134,-81.89225
12073,30.45931,-84.2778
12075,29.284409,-82.783483
12077,30.259849,-84.868581
12079,30.447228,-83.470437
12081,27.481386,-82.365784
12083,29.202805,-82.0431
12085,27.079954,-80.398211
12086,25.610494,-80.499045
12087,25.601043,-81.206777
12089,30.605926,-81.764929
12091,30.665858,-86.594194
12093,27.385592,-80.887388
12095,28.514435,-81.323295
12097,28.059027,-81.139312
12099,26.645763,-80.448673
12101,28.302024,-82.455707
12103,27.903122,-82.739518
