FIPS,Duration,Density
26091,32347.3,4
39003,31680.2,1
4027,138565.6,1
29019,56192.2,1
37015,24774.8,1
36015,14307.7,1
41009,161667.7,4
21015,34254.7,1
54059,31155.5,1
37037,27735.8,1
47001,38230,3
53055,164346.4,15
48057,96929.6,1
27159,75863.9,1
27059,68346.4,2
21035,50554.2,1
21125,39586.7,1
37067,29644.7,2
27039,63407.4,2
6111,154577.5,11
27105,72072.2,1
53005,147673.2,2
19169,60620.7,1
23001,26749.4,2
40051,79613.3,2
26021,39505.2,3
5145,64775.5,2
51023,21808.6,1
24025,6147.1,1
18065,34467.4,1
42121,19510.3,1
42031,17360.9,1
1103,50096.6,2
47179,32347.7,2
23003,40828,2
13031,44270.2,1
40101,73061.9,1
18125,44065.9,1
51169,33273.3,1
36029,22220.2,4
13089,46025.2,8
42027,12286.7,1
39165,30810,1
36013,23747.9,5
41071,161937.3,1
42019,19642.8,1
42055,9915.8,1
22005,72101,2
41035,158010.8,1
53067,157737.7,4
53075,142827.6,1
48271,105467.5,1
8035,95525,4
26001,44819.8,1
45043,37338.3,2
48121,84787,3
22071,68291.6,6
36037,20170.8,1
17019,43314.5,1
25015,16142.4,2
24031,9787.1,3
41015,173779.3,1
12001,53772.2,2
39151,23855.5,1
17203,48458.7,1
35028,108222,1
17167,48431.5,2
27065,69819.4,1
53057,160026.5,2
27129,71242.7,2
12033,63394,1
27173,74440,1
17081,47803.4,1
13215,52331.5,1
13157,43352.4,1
13115,46093.4,1
36077,14709.3,1
22121,72832.5,4
17095,50845.6,1
17113,46561.9,1
27145,70851.3,3
17083,51024.7,1
13195,43017.3,1
13095,54785.4,5
17119,49096.5,2
27043,66723.1,1
47073,33124.2,1
39089,26184.7,2
42127,9610.3,1
37181,22857.4,1
17111,47228,1
48135,102135.5,1
47187,47343.6,1
26027,37978.4,6
48043,111652.2,11
29201,54788.7,1
27027,77984.1,2
48143,89161.7,1
26009,46300.8,7
8087,91494.7,1
27029,80183.6,1
45059,39253,1
29101,61698.3,2
13097,47827.8,1
47145,38465.3,1
51047,13927.4,1
42125,18207.5,1
53037,148495,1
47009,38409.8,1
24009,11899.5,1
18029,34560,1
29159,60067.5,1
55071,53614.9,1
37129,31446.3,1
42021,14440,1
23009,33469.5,1
26059,34239.7,6
46103,90936.8,1
16009,140040.2,2
48021,93168.9,2
12101,60480.4,5
27097,71693.3,1
27147,64847.2,2
48427,107228.3,1
6007,155687.1,1
19153,59719.8,5
53015,162376.4,1
48375,92598,1
13051,43235.8,2
26141,47678.5,5
26153,52793.1,3
53003,147853.4,1
30053,139796.8,2
47037,46037.7,2
27127,72404.7,1
47157,57068,4
37045,35022.5,1
48369,95754.7,1
29041,59530.3,1
38017,79663.9,1
26073,40736.3,2
47065,42604.3,4
18005,37385.1,1
13021,48719.1,1
8077,108636,1
50011,27262.8,4
23025,35411.7,4
26121,43419.1,2
45007,40089.8,1
26109,58300.8,6
53065,142630.2,2
18183,36316.5,1
26157,39503.6,4
29165,65182.1,1
36065,17091.7,1
19031,53291.9,1
48491,92276.3,2
4007,132685.5,3
29187,53659.5,1
26155,37376,6
26165,43948.5,2
48187,96109.9,2
20045,65615.8,1
23019,35139.7,1
13013,44195.3,2
29027,55366.1,1
26063,39461.2,1
26107,42345.6,4
18167,40426.5,1
41033,163957.4,1
26149,36741.2,6
26017,38501.1,8
